postalCode	placeName	adminName1	latitude	longitude
01340	Béréziat	Rhône-Alpes	46.3672	5.0461
01340	Saint-Sulpice	Rhône-Alpes	46.3204	5.0413
01340	Saint-Didier-d'Aussiat	Rhône-Alpes	46.3065	5.061
01350	Pollieu	Rhône-Alpes	45.8002	5.743
01350	Cressin-Rochefort	Rhône-Alpes	45.7758	5.7614
01350	Bureau de Poste de Culoz	Rhône-Alpes	45.8478	5.7841
01350	Vongnes	Rhône-Alpes	45.8147	5.7235
01350	Lavours	Rhône-Alpes	45.8098	5.7698
01350	Béon	Rhône-Alpes	45.8539	5.7561
01350	Anglefort	Rhône-Alpes	45.9107	5.8092
01350	Culoz	Rhône-Alpes	45.8496	5.7808
01350	Flaxieu	Rhône-Alpes	45.8093	5.7347
01350	Ceyzérieu	Rhône-Alpes	45.8351	5.7265
01360	Bureau de Poste de Beligneux Camp De La Valbonne	Rhône-Alpes	45.849	5.1247
01360	Loyettes	Rhône-Alpes	45.7762	5.2074
01360	La Valbonne	Rhône-Alpes	45.8502	5.1234
01360	Balan	Rhône-Alpes	45.8343	5.0983
01360	Béligneux	Rhône-Alpes	45.8682	5.1268
01360	Bressolles	Rhône-Alpes	45.8678	5.0961
01365	La Valbonne	Rhône-Alpes	45.8502	5.1234
01366	La Valbonne	Rhône-Alpes	45.8502	5.1234
01369	La Valbonne	Rhône-Alpes	45.8502	5.1234
01370	Bureau de Poste de Treffort Cuisiat	Rhône-Alpes	46.2708	5.3681
01370	Saint-Étienne-du-Bois	Rhône-Alpes	46.2877	5.2948
01370	Bureau de Poste de Saint Etienne Du Bois	Rhône-Alpes	46.286	5.2921
01370	Meillonnas	Rhône-Alpes	46.2434	5.3493
01370	Bény	Rhône-Alpes	46.3196	5.2844
01370	Courmangoux	Rhône-Alpes	46.3315	5.3701
01370	Treffort-Cuisiat	Rhône-Alpes	46.2667	5.3667
01370	Pressiat	Rhône-Alpes	46.3222	5.3847
01380	Bureau de Poste de Bage Le Chatel	Rhône-Alpes	46.3075	4.9295
01380	Boissey	Rhône-Alpes	46.3809	4.9958
01380	Bâgé-le-Châtel	Rhône-Alpes	46.308	4.929
01380	Dommartin	Rhône-Alpes	46.3374	4.9904
01380	Saint-Genis-sur-Menthon	Rhône-Alpes	46.281	5.0092
01380	Saint-Cyr-sur-Menthon	Rhône-Alpes	46.2755	4.9723
01380	Bâgé-la-Ville	Rhône-Alpes	46.3165	4.9467
01380	Saint-André-de-Bâgé	Rhône-Alpes	46.2998	4.9156
01390	Mionnay	Rhône-Alpes	45.8956	4.9307
01390	Saint-Marcel	Rhône-Alpes	45.95	4.9833
01390	Saint-Jean-de-Thurigneux	Rhône-Alpes	45.9526	4.8834
01390	Civrieux	Rhône-Alpes	45.9218	4.8855
01390	Bureau de Poste de Saint Andre De Corcy	Rhône-Alpes	45.9245	4.9534
01390	Saint-André-de-Corcy	Rhône-Alpes	45.9259	4.9517
01390	Monthieux	Rhône-Alpes	45.9574	4.9406
01390	Rancé	Rhône-Alpes	45.9649	4.8698
01390	Tramoyes	Rhône-Alpes	45.8763	4.9657
01400	Bureau de Poste de Neuville Les Dames	Rhône-Alpes	46.1617	5.0043
01400	Neuville-les-Dames	Rhône-Alpes	46.1623	5.004
01400	Bureau de Poste de Chatillon Sur Chalaronne	Rhône-Alpes	46.1197	4.9601
01400	L'Abergement-Clémenciat	Rhône-Alpes	46.1497	4.9221
01400	Dompierre-sur-Chalaronne	Rhône-Alpes	46.1429	4.9029
01400	Saint-Georges-sur-Renon	Rhône-Alpes	46.1051	5.031
01400	Romans	Rhône-Alpes	46.1183	5.0238
01400	Sulignat	Rhône-Alpes	46.1764	4.9641
01400	Sandrans	Rhône-Alpes	46.0627	4.9809
01400	Châtillon-sur-Chalaronne	Rhône-Alpes	46.1202	4.9582
01400	Condeissiat	Rhône-Alpes	46.1579	5.0798
01400	Chanoz-Châtenay	Rhône-Alpes	46.184	5.029
01410	Lajoux	Franche-Comté	46.3744	5.9733
01410	Bureau de Poste de Lelex	Rhône-Alpes	46.3036	5.9419
